id,class,protein_or_peptide_name,organism,accession,database,pdb_id,sequence_type,known_region,cellular_location,biological_function,known_binding_partner,known_binding_surface,reason_akap_like,reason_not_akap,biological_context_evidence,structural_context_evidence,expected_failure_mode,intended_use,priority,verification_status,notes
CC01,coiled_coil,GCN4 leucine zipper,Saccharomyces cerevisiae,P03069,UniProt,2ZTA,full_protein,249-281,nucleus,bZIP transcription factor homodimerization,GCN4 leucine zipper (homodimer),helix-helix coiled-coil interface (heptad a/d),"continuous hydrophobic seam, amphipathic, can score on hydrophobic stripe","hydrophobic face packs against a partner helix (knobs-into-holes), not the PKA D/D groove; 3.5 res/turn heptad",canonical bZIP dimerization domain (O'Shea 1991),PDB 2ZTA parallel dimeric coiled coil,hydrophobic stripe may give PSSM>=12; ML may follow PSSM,training_candidate+stress_test,high,verify_region,prototypical coiled coil; clean label
CC02,coiled_coil,Tropomyosin alpha-1 chain,Homo sapiens,P09493,UniProt,1C1G,full_protein,full coiled-coil (use sliding window),cytoskeleton,actin filament stabilization; coiled-coil dimer,tropomyosin partner chain / actin,helix-helix coiled-coil interface,long amphipathic coiled coil with strong hydrophobic seam,obligate dimerization seam; not a PKA anchor,muscle thin-filament regulator,PDB 1C1G,multiple windows may breach danger zone along the rod,training_candidate+stress_test,high,verify_accession_isoform,very long; many windows
CC03,coiled_coil,Vimentin (coil 2B rod),Homo sapiens,P08670,UniProt,3UF1,full_protein,coil 2B (~262-334),cytoskeleton,intermediate filament assembly,vimentin (dimer/tetramer),helix-helix coiled-coil interface,amphipathic coiled-coil rod,"IF assembly interface, not PKA D/D",canonical type-III IF,PDB 3UF1 coil2 fragment,danger-zone entry along rod,stress_test,medium,verify_region,
CC04,coiled_coil,SNAP-25 SNARE motif,Homo sapiens,P60880,UniProt,1SFC,full_protein,SN1/SN2 SNARE helices,membrane/vesicle,SNARE complex membrane fusion,syntaxin-1 / VAMP2 (SNARE 4-helix bundle),four-helix bundle interface,amphipathic helices with hydrophobic interface,assembles into SNARE bundle; not PKA anchor,neuronal exocytosis SNARE,PDB 1SFC,bundle-facing hydrophobic face may score,stress_test,medium,verify_region,
MB01,membrane_amphipathic,ArfGAP1 ALPS1 motif,Homo sapiens,Q8N6T3,UniProt,,full_protein,ALPS1 ~192-257 (lipid packing sensor),Golgi membrane / cytosol,curvature-sensing membrane binding (ArfGAP activity),curved lipid membrane,membrane-facing hydrophobic face,"strong amphipathic helix, high hydrophobic moment",inserts bulky face into lipid packing defects; charge-poor polar face; not PKA groove,ALPS curvature sensor (Bigay/Antonny),folds on membrane; disordered in solution,HIGH likelihood of danger-zone entry; key test class,training_candidate+stress_test,high,verify_accession_region,charge-poor polar face is the discriminator
MB02,membrane_amphipathic,Alpha-synuclein N-terminal repeats,Homo sapiens,P37840,UniProt,1XQ8,full_protein,1-95 (KTKEGV imperfect 11-mers),cytosol / presynaptic membrane,synaptic vesicle membrane binding,acidic phospholipid membrane,membrane-facing amphipathic face,long amphipathic helix on membrane,lipid-binding; 11-mer periodicity; lysine-rich interface; not PKA D/D,micelle-bound helix (Ulmer 2005),PDB 1XQ8 (micelle-bound),danger-zone entry likely across repeats,training_candidate+stress_test,high,verify_region,
MB03,membrane_amphipathic,Epsin-1 ENTH N-terminal helix-0,Homo sapiens,Q9Y6I3,UniProt,1H0A,full_protein,helix-0 (~1-15),plasma membrane / cytosol,"PtdIns(4,5)P2-induced membrane curvature",PIP2 membrane,membrane-inserted hydrophobic face,amphipathic helix that folds on membrane,short curvature-driving helix; lipid target; not PKA,ENTH H0 insertion (Ford 2002),PDB 1H0A,short; may not reach 5-turn support,stress_test,medium,verify_accession_region,tests 5-turn/length discriminator
MB04,membrane_amphipathic,Cathelicidin LL-37,Homo sapiens,P49913,UniProt,2K6O,peptide_region,mature 134-170,secreted,antimicrobial membrane disruption,microbial membrane,membrane-facing hydrophobic face,"cationic amphipathic helix, high moment",membrane-lytic; strongly cationic polar face; not PKA groove,human cathelicidin AMP,PDB 2K6O,cationic face; PSSM may reject,stress_test,medium,verify_region,peptide-derived region; cationic polar face discriminator
MB05,membrane_amphipathic,Melittin,Apis mellifera,P01501,UniProt,2MLT,peptide_only,1-26 (mature),secreted (venom),membrane-lytic peptide,lipid membrane,membrane-facing hydrophobic face,"classic amphipathic helix, very high moment",pore-forming lytic peptide; not a protein-groove anchor,bee venom peptide,PDB 2MLT,peptide-only; lacks protein context,stress_test_only,low,verify_sequence,PEPTIDE-ONLY: no full-protein background; analyze separately
MT01,mito_targeting,ALDH2 presequence,Homo sapiens,P05091,UniProt,,full_protein,N-terminal presequence ~1-17,mitochondria (matrix),mitochondrial import targeting (cleaved),TOM20 import receptor,TOM20 hydrophobic groove (phi-chi-chi-phi-phi),amphipathic with hydrophobic + charged face,"Arg-rich, acidic-depleted targeting peptide; cleaved; recognized by TOM/TIM not PKA",classic cleavable MTS,TOM20-presequence complexes (Saitoh 2007),likely PSSM<12 (different anchors) -> PSSM filters,stress_test,medium,verify_region,"if PSSM<12, report PSSM already filters this class"
